markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
4253,25633,2974,1499,85,Hedgehog,Loc_52,2016-10-24 00:17:52,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161024-00-17-52-IMG_1713.jpg,RP8,Loc_52_RP8,1.26696190970022,0.182618951005606,272.990651434405,0.3961778758364,3,0.132059291945467,5
4259,25643,2976,400,55,Hedgehog,Loc_52,2016-10-24 00:18:28,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161024-00-18-28-IMG_1723.jpg,RP8,Loc_52_RP8,1.36548528416877,-0.239903632478943,201.912161663899,0.199517070559803,5,0.0399034141119605,10
4271,25663,2979,971,306,Hedgehog,Loc_52,2016-10-24 01:23:08,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161024-01-23-08-IMG_1743.jpg,RP8,Loc_52_RP8,1.91991355465305,-0.0203764303227307,508.017966323816,0.461395023522441,5,0.0922790047044882,10
4282,25673,2981,1710,560,Fox,Loc_52,2016-10-24 05:23:45,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161024-05-23-45-IMG_1753.jpg,RP8,Loc_52_RP8,3.34703431037306,0.263740211347043,1178.87781244213,1.54750792070637,8,0.193438490088296,12
4298,25713,2986,387,576,Fox,Loc_52,2016-10-24 21:09:25,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161024-21-09-25-IMG_1945.jpg,RP8,Loc_52_RP8,2.65557922209023,-0.244901624822254,445.480977506016,0.500813558559558,3,0.166937852853186,6
4308,25753,2991,488,614,Hedgehog,Loc_52,2016-10-25 06:16:01,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161025-06-16-01-IMG_1985.jpg,RP8,Loc_52_RP8,2.85095399253241,-0.20607106892422,865.143320389346,1.0470448549719,5,0.209408970994381,10
4320,25773,2994,51,220,Hedgehog,Loc_52,2016-10-26 00:11:39,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161026-00-11-39-IMG_2225.jpg,RP8,Loc_52_RP8,1.69871286388928,-0.374080503849377,292.987696669884,0.349620595163188,3,0.116540198387729,6
4327,25783,2996,1869,306,Hedgehog,Loc_52,2016-10-26 00:13:45,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161026-00-13-45-IMG_2235.jpg,RP8,Loc_52_RP8,1.97836841041257,0.324869502315235,284.241102345373,0.554121188231614,6,0.0923535313719357,10
4339,25803,2999,1049,140,Hedgehog,Loc_52,2016-10-27 03:29:38,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161027-03-29-38-IMG_2415.jpg,RP8,Loc_52_RP8,1.45582426060138,0.00961152373713713,715.429943345034,0.680409318924009,6,0.113401553154002,10
4350,25814,3001,812,158,Hedgehog,Loc_52,2016-10-27 19:13:57,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161027-19-13-57-IMG_3539.jpg,RP8,Loc_52_RP8,1.52137191110536,-0.0815057212909229,1115.34872371263,0.760853750225119,4,0.19021343755628,8
4364,25873,3008,44,223,Hedgehog,Loc_52,2016-10-30 22:11:18,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161030-22-11-18-IMG_4358.jpg,RP8,Loc_52_RP8,1.70436767005679,-0.376771730495776,768.107209830651,0.578103225105052,2,0.289051612552526,5
4371,25893,3011,665,352,Fox,Loc_52,2016-10-31 20:56:25,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161031-20-56-25-IMG_4518.jpg,RP8,Loc_52_RP8,2.03104037804746,-0.138021480865289,475.379848121479,0.375008953566136,1,0.375008953566136,2
