"species" "distance" "intervals" "avgduration"
"566" "rat" 0.6 4 0.555555555555556
"567" "rat" 0.49 4 1.33333333333333
"568" "agouti" 1.2 4 1.22222222222222
"569" "rat" 0.9 4 0.555555555555556
"570" "rat" 0.78 4 1.66666666666667
"571" "opossum" 0.63 3 0.555555555555556
"572" "agouti" 0.88 4 1.55555555555556
"573" "agouti" 0.56 3 0.777777777777778
"574" "brocket" 1.17 4 1.44444444444444
"575" "squirrel" 0.66 4 0.666666666666667
"576" "agouti" 0.74 3 0.777777777777778
"577" "ocelot" 1.32 4 1.44444444444444
"578" "paca" 0.45 4 0.444444444444444
"579" "ocelot" 0.58 3 0.777777777777778
"580" "agouti" 2.86 4 2.55555555555556
"581" "agouti" 1.44 4 0.666666666666667
"582" "rat" 1.1 4 1.22222222222222
"583" "peccary" 1.37 4 2.33333333333333
"584" "peccary" 0.54 4 1.55555555555556
"585" "agouti" 1.35 4 2.44444444444444
"586" "agouti" 2.16 4 1.55555555555556
"587" "mouse" 0.3 3 0.555555555555556
"588" "agouti" 0.42 3 0.555555555555556
"589" "brocket" 1.5 4 1.55555555555556
"590" "agouti" 0.97 4 0.777777777777778
"591" "paca" 0.43 4 1.66666666666667
"592" "agouti" 1.67 4 1.66666666666667
"593" "rat" 0.1 4 0.555555555555556
"594" "rat" 0.3 4 0.444444444444444
"595" "rat" 0.4 4 0.555555555555556
"596" "rat" 0.4 5 0.555555555555556
"597" "agouti" 0.6 4 0.555555555555556
"598" "agouti" 0.6 4 0.888888888888889
"599" "agouti" 0.8 4 0.888888888888889
"600" "agouti" 0.9 5 0.555555555555556
"601" "coati" 1 5 0.777777777777778
"602" "peccary" 1 4 0.555555555555556
"603" "coati" 1.1 4 0.777777777777778
"604" "peccary" 1.1 4 0.555555555555556
"605" "coati" 1.2 5 0.777777777777778
"606" "agouti" 1.4 5 0.888888888888889
"607" "agouti" 1.5 5 0.888888888888889
"608" "tamandua" 1.5 5 0.777777777777778
"609" "agouti" 1.7 5 0.777777777777778
"610" "agouti" 1.7 4 0.888888888888889
"611" "agouti" 1.9 5 0.777777777777778
"612" "armadillo" 2.2 5 0.444444444444444
"613" "peccary" 2.2 5 0.888888888888889
